classe,id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,note,rang
pcc,1310,5,1,0.0,3.0,2.0,5.0,0.0,2.0,1.0,,5.0,1.0,,,,,,9.6,24.0
pcc,3101,4,4,0.0,0.0,,5.0,0.0,3.0,0.0,,,,,,,,,8.4,29.0
pcc,2109,4,5,4.0,4.0,4.0,,1.0,4.0,5.0,,5.0,3.0,,0.0,,,,12.0,11.0
pcc,1910,4,5,4.0,1.0,,5.0,3.0,3.0,3.0,,5.0,5.0,5.0,,,,,11.4,16.0
pcc,2612,5,5,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,,,5.0,3.0,0.0,,15.3,3.0
pcc,1612,4,4,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,,5.0,5.0,4.0,,,,14.7,5.0
pcc,1511,5,4,5.0,5.0,0.0,5.0,,5.0,5.0,,5.0,5.0,,,,,,13.2,6.0
pcc,2011,4,5,4.0,3.0,0.0,5.0,2.0,5.0,3.0,,,3.0,,5.0,1.0,,,12.2,9.0
pcc,2806,3,3,5.0,,1.0,2.0,3.0,1.0,,,5.0,,,1.0,,,,8.2,31.0
pcc,1310b,5,5,5.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,,4.0,,1.0,,14.8,4.0
pcc,603,5,1,4.0,1.0,,4.0,0.0,1.0,0.0,,,2.0,,,,,,8.0,32.0
pcc,3012,5,5,5.0,4.0,,4.0,,,3.0,,,,,5.0,,,,10.9,19.0
pcc,1204,5,2,2.0,1.0,,,0.0,5.0,,,,5.0,,,,,,8.7,27.0
pcc,510,5,5,4.0,3.0,,4.0,0.0,4.0,2.0,,0.0,5.0,,5.0,,,,11.6,14.0
pcc,204,5,4,5.0,3.0,4.0,5.0,,5.0,4.0,,,,,,,,,11.7,13.0
pcc,2909,5,4,3.0,1.0,,5.0,4.0,5.0,5.0,,,5.0,,5.0,2.0,0.0,,12.1,10.0
pcc,2303,5,5,4.0,,,4.0,3.0,3.0,,,,,,,,,,9.2,25.0
pcc,2011b,3,0,4.0,,,1.0,0.0,0.0,0.0,,5.0,0.0,,,,,,6.5,35.0
pcc,1504,5,5,3.0,0.0,2.0,5.0,0.0,2.0,5.0,,0.0,0.0,0.0,0.0,,,,9.8,23.0
pcc,1106,4,5,5.0,1.0,,3.0,,5.0,3.0,,,,4.0,,,,,10.5,21.0
pcc,2407,5,3,0.0,2.0,0.0,1.0,0.0,,,,,,,,,,,7.7,33.0
